Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
ROYAL BAY,Apto. 2101,2S,"132,14",Vendida,"R$ 1.995.905,32","R$ 15.104,47",
ROYAL BAY,Apto. 3103,Sala,"132,52",Vendida,"R$ 2.072.619,64","R$ 15.640,05",
ROYAL BAY,Apto. 3701,3S,"132,14",Vendida,"R$ 2.206.999,37","R$ 16.701,98",
ROYAL BAY,Apto. 1701,3S,"132,14",Vendida,"R$ 1.800.232,65","R$ 13.623,68",
ROYAL BAY,Apto. 1702,3S,"138,06",Vendida,"R$ 1.936.486,44","R$ 14.026,41",
ROYAL BAY,Apto. 1703,3S,"132,52",Vendida,"R$ 1.793.504,10","R$ 13.533,84",
ROYAL BAY,Apto. 1803,3S,"132,52",Vendida,"R$ 1.820.819,50","R$ 13.739,96",
ROYAL BAY,Apto. 2103,3S,"132,52",Vendida,"R$ 1.689.774,30","R$ 12.751,09",
ROYAL BAY,Apto. 2201,3S,"132,14",Vendida,"R$ 2.024.565,84","R$ 15.321,37",
ROYAL BAY,Apto. 2202,3S,"138,06",Vendida,"R$ 2.056.323,36","R$ 14.894,42",
ROYAL BAY,Apto. 2501,3S,"132,14",Vendida,"R$ 2.113.152,74","R$ 15.991,77",
ROYAL BAY,Apto. 3001,3S,"132,14",Vendida,"R$ 2.058.905,52","R$ 15.581,24",
ROYAL BAY,Apto. 3301,Sala,"132,14",Vendida,"R$ 2.206.087,00","R$ 16.695,07",
ROYAL BAY,Apto. 3601,3S,"132,14",Vendida,"R$ 2.185.147,88","R$ 16.536,61",
ROYAL BAY,Apto. 701,3S,"132,14",Vendida,"R$ 1.620.289,87","R$ 12.261,92",
ROYAL BAY,Apto. 903,3S,"132,52",Vendida,"R$ 1.641.239,51","R$ 12.384,84",
EMERALD COAST,Apto. 1904,3S,"83,11",Vendida,"R$ 1.245.991,09","R$ 14.992,07",
ROYAL BAY,Apto. 1502,Garden,"138,06",Vendida,"R$ 1.883.459,48","R$ 13.642,33",
ROYAL BAY,Apto. 1603,Garden,"132,52",Vendida,"R$ 1.851.392,70","R$ 13.970,67",
ROYAL BAY,Apto. 2503,3S,"132,52",Vendida,"R$ 2.004.053,47","R$ 15.122,65",
ROYAL BAY,Apto. 3101,3S,"132,14",Vendida,"R$ 2.079.093,24","R$ 15.734,02",
ROYAL BAY,Apto. 3201,3S,"132,14",Vendida,"R$ 2.099.884,17","R$ 15.891,36",
ROYAL BAY,Apto. 3501,3S,"132,14",Vendida,"R$ 2.163.512,76","R$ 16.372,88",
PARADISE BAY,Apto 1205,3S,"81,53",Vendida,"R$ 981.305,16","R$ 12.036,12",
